Date,Open,High,Low,Close,Adj Close,Volume,Return
6/26/1992,0.328125,0.347656,0.320313,0.335938,0.260703,224358400,0.02344
6/29/1992,0.339844,0.367188,0.332031,0.359375,0.278891,58732800,-0.01172
6/30/1992,0.367188,0.371094,0.34375,0.347656,0.269797,34777600,0.00781
7/1/1992,0.351563,0.359375,0.339844,0.355469,0.27586,18316800,0
7/2/1992,0.359375,0.359375,0.347656,0.355469,0.27586,13996800,0
7/6/1992,0.351563,0.355469,0.347656,0.355469,0.27586,5753600,0
7/7/1992,0.355469,0.355469,0.347656,0.355469,0.27586,10662400,-0.00781
7/8/1992,0.355469,0.355469,0.34375,0.347656,0.269797,15500800,0.01172
7/9/1992,0.351563,0.359375,0.347656,0.359375,0.278891,3923200,0.00391
7/10/1992,0.359375,0.367188,0.351563,0.363281,0.281923,11040000,0.00781
7/13/1992,0.363281,0.371094,0.359375,0.371094,0.287986,5996800,0
7/14/1992,0.371094,0.382813,0.367188,0.371094,0.287986,17062400,0.01172
7/15/1992,0.375,0.382813,0.371094,0.382813,0.29708,4992000,0.02539
7/16/1992,0.382813,0.414063,0.378906,0.408203,0.316784,17062400,0.02149
7/17/1992,0.410156,0.4375,0.398438,0.429688,0.333458,15667200,0.00391
7/20/1992,0.427734,0.4375,0.417969,0.433594,0.336489,19744000,0.00391
7/21/1992,0.4375,0.445313,0.429688,0.4375,0.33952,7782400,-0.00391
7/22/1992,0.433594,0.4375,0.421875,0.433594,0.336489,10892800,0.00781
7/23/1992,0.433594,0.441406,0.425781,0.441406,0.342551,10387200,0.00391
7/24/1992,0.433594,0.449219,0.429688,0.445313,0.345583,7052800,0.00976
7/27/1992,0.449219,0.464844,0.445313,0.455078,0.353162,11430400,-0.01758
7/28/1992,0.460938,0.464844,0.429688,0.4375,0.33952,18009600,-0.02148
7/29/1992,0.4375,0.4375,0.40625,0.416016,0.322848,30848000,-0.00195
7/30/1992,0.410156,0.417969,0.402344,0.414063,0.321332,11737600,0.00195
7/31/1992,0.414063,0.417969,0.40625,0.416016,0.322848,6886400,0.00391
8/3/1992,0.410156,0.425781,0.410156,0.419922,0.325879,4832000,0.00781
8/4/1992,0.421875,0.429688,0.412109,0.427734,0.331941,6822400,-0.01758
8/5/1992,0.425781,0.425781,0.402344,0.410156,0.3183,9516800,0
8/6/1992,0.40625,0.410156,0.398438,0.410156,0.3183,3673600,0.01563
8/7/1992,0.410156,0.425781,0.398438,0.425781,0.330426,8825600,0
